stressor,p_commit,p_abort,p_no_finality,visibility,fidelity
baseline,0.8845166666666666,0.003683333333333333,0.1118,0.770983830008986,0.885491915004493
local_phase_inversion,0.48583333333333334,0.0036,0.5105666666666666,0.770983830008986,0.885491915004493
selective_fidelity_degradation,0.8796666666666667,0.00405,0.11628333333333334,0.7671385321147106,0.8835692660573553
coordinated_timing_misalignment,0.2253,0.7274166666666667,0.04728333333333333,0.6548027644156547,0.8274013822078273
