n,p_commit,hotstuff_latency_ms,qmc_pre_expected_latency_ms,all_attempt_extra_overhead_margin_ms,success_branch_extra_overhead_margin_ms
4,0.9357333333333333,15.105,10.167206666666667,4.9377933333333335,5.276923624964378
7,0.9092333333333333,15.38625,10.679721291666667,4.706528708333334,5.176370614437072
10,0.8817666666666667,15.6675,11.193734083333332,4.473765916666668,5.073639190261976
13,0.8484166666666667,15.94875,11.737478020833333,4.211271979166668,4.963683700029468
16,0.71845,16.23,12.8276505,3.4023494999999997,4.735680283944602
