n,noise,hotstuff_factor,qmc_factor,extra_transcript_ms,p_commit,hotstuff_latency_ms,qmc_expected_latency_ms,qmc_faster,advantage_ms
4,0.75,0.7,0.7,0.0,0.9437666666666666,10.5735,7.0949730833333335,True,3.4785269166666657
4,0.75,0.7,0.7,2.0,0.9437666666666666,10.5735,9.094973083333333,True,1.4785269166666666
4,0.75,0.7,0.7,4.0,0.9437666666666666,10.5735,11.094973083333333,False,-0.5214730833333334
4,0.75,0.7,0.7,6.0,0.9437666666666666,10.5735,13.094973083333333,False,-2.5214730833333334
4,0.75,0.7,0.7,8.0,0.9437666666666666,10.5735,15.094973083333333,False,-4.521473083333333
4,0.75,0.7,0.85,0.0,0.9437666666666666,10.5735,8.479478783333334,True,2.0940212166666647
4,0.75,0.7,0.85,2.0,0.9437666666666666,10.5735,10.479478783333334,True,0.09402121666666474
4,0.75,0.7,0.85,4.0,0.9437666666666666,10.5735,12.479478783333334,False,-1.9059787833333353
4,0.75,0.7,0.85,6.0,0.9437666666666666,10.5735,14.479478783333334,False,-3.9059787833333353
4,0.75,0.7,0.85,8.0,0.9437666666666666,10.5735,16.479478783333334,False,-5.905978783333335
4,0.75,0.7,1.0,0.0,0.9437666666666666,10.5735,9.863984483333335,True,0.7095155166666647
4,0.75,0.7,1.0,2.0,0.9437666666666666,10.5735,11.863984483333335,False,-1.2904844833333353
4,0.75,0.7,1.0,4.0,0.9437666666666666,10.5735,13.863984483333335,False,-3.2904844833333353
4,0.75,0.7,1.0,6.0,0.9437666666666666,10.5735,15.863984483333335,False,-5.290484483333335
4,0.75,0.7,1.0,8.0,0.9437666666666666,10.5735,17.863984483333333,False,-7.2904844833333335
4,0.75,0.7,1.15,0.0,0.9437666666666666,10.5735,11.248490183333335,False,-0.6749901833333354
4,0.75,0.7,1.15,2.0,0.9437666666666666,10.5735,13.248490183333335,False,-2.6749901833333354
4,0.75,0.7,1.15,4.0,0.9437666666666666,10.5735,15.248490183333335,False,-4.674990183333335
4,0.75,0.7,1.15,6.0,0.9437666666666666,10.5735,17.248490183333335,False,-6.674990183333335
4,0.75,0.7,1.15,8.0,0.9437666666666666,10.5735,19.248490183333335,False,-8.674990183333335
4,0.75,0.7,1.3,0.0,0.9437666666666666,10.5735,12.632995883333336,False,-2.059495883333337
4,0.75,0.7,1.3,2.0,0.9437666666666666,10.5735,14.632995883333336,False,-4.059495883333337
4,0.75,0.7,1.3,4.0,0.9437666666666666,10.5735,16.632995883333336,False,-6.059495883333337
